,dsstox_substance_id,med,mad,ntst,nhit,burstpct,used_in_global_mad_calc,global_mad,cyto_pt,cyto_pt_um,lower_bnd_um
1909,DTXSID2021602,1.6963637333039328,0.0,71.0,1.0,0.014084507042253521,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1910,DTXSID2021604,1.8470956508844134,0.0,68.0,1.0,0.014705882352941176,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1911,DTXSID2021608,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1912,DTXSID2021650,1.541911064557952,0.0,67.0,1.0,0.014925373134328358,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1913,DTXSID2021652,1.7267139612169464,0.0,69.0,1.0,0.014492753623188406,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1914,DTXSID2021654,1.3935340955436983,0.0,71.0,1.0,0.014084507042253521,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1915,DTXSID2021656,1.3818737626361737,0.0,71.0,1.0,0.014084507042253521,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1916,DTXSID2021658,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1917,DTXSID2021731,,,69.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1918,DTXSID2021735,,,73.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1919,DTXSID2021739,,,72.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1920,DTXSID2021781,1.5913783884301855,0.36770501861327104,72.0,4.0,0.05555555555555555,True,0.1765603253086648,1.5913783884301855,39.028188008730964,11.526498882448097
1921,DTXSID2021789,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1922,DTXSID2021810,,,69.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1923,DTXSID2021816,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1924,DTXSID2021818,0.3553339921259348,0.030433291944685897,69.0,10.0,0.14492753623188406,True,0.1765603253086648,0.3553339921259348,2.2663865914938874,0.6693496123418687
1925,DTXSID2021860,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1926,DTXSID2021864,,,73.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1927,DTXSID2021866,,,73.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1928,DTXSID2021868,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1929,DTXSID2021941,,,72.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1930,DTXSID2021943,,,73.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1931,DTXSID2021947,1.8738404624407077,0.0,72.0,1.0,0.013888888888888888,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1932,DTXSID2021949,,,69.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1933,DTXSID2021993,1.818255001402662,0.06459204413164191,73.0,4.0,0.0547945205479452,True,0.1765603253086648,1.818255001402662,65.80441027174557,19.43452925069822
1934,DTXSID2021995,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1935,DTXSID2021997,,,73.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1936,DTXSID2022048,0.7680094885180243,0.30603474660530916,73.0,9.0,0.1232876712328767,True,0.1765603253086648,0.7680094885180243,5.861509706709706,1.7311253360964056
1937,DTXSID2022090,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1938,DTXSID2022096,,,71.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1939,DTXSID2022121,,,71.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1940,DTXSID2022123,1.7035852370440825,0.18762416443952268,73.0,6.0,0.0821917808219178,True,0.1765603253086648,1.7035852370440825,50.53418163959227,14.92465363915647
1941,DTXSID2022125,,,45.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1942,DTXSID2022127,1.5369829868451095,0.2840717529809507,70.0,11.0,0.15714285714285714,True,0.1765603253086648,1.5369829868451095,34.43364413818163,10.169556439273478
1943,DTXSID2022171,1.1203520745590163,0.0,71.0,1.0,0.014084507042253521,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1944,DTXSID2022179,1.7326193090373543,0.1695729418253911,68.0,5.0,0.07352941176470588,True,0.1765603253086648,1.7326193090373543,54.028051981689536,15.956525592437863
1945,DTXSID2022254,1.7141994814135812,0.2474587118832821,73.0,4.0,0.0547945205479452,True,0.1765603253086648,1.7141994814135812,51.784463524688704,15.293909130804844
1946,DTXSID2022256,1.5740882218619292,0.00414497309354942,70.0,3.0,0.04285714285714286,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1947,DTXSID2022331,1.6873412304451365,0.3740780253951464,70.0,9.0,0.12857142857142856,True,0.1765603253086648,1.6873412304451365,48.67895319156397,14.37673456517588
1948,DTXSID2022333,,,45.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1949,DTXSID2022381,1.7121999343024372,0.18138250498992073,73.0,47.0,0.6438356164383562,True,0.1765603253086648,1.7121999343024372,51.54658928065278,15.223655876735506
1950,DTXSID2022462,1.813563940912668,0.11032985064836875,43.0,6.0,0.13953488372093023,True,0.1765603253086648,1.813563940912668,65.09744463575011,19.225735580558887
1951,DTXSID2022541,1.634821904710757,0.0,70.0,1.0,0.014285714285714285,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1952,DTXSID2022543,,,69.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1953,DTXSID2022549,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1954,DTXSID2022593,,,69.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1955,DTXSID2022595,1.5849080063744458,0.141811632238182,67.0,3.0,0.04477611940298507,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1956,DTXSID2022624,,,14.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1957,DTXSID2022626,,,14.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1958,DTXSID2022628,,,73.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1959,DTXSID2022672,,,14.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1960,DTXSID2022674,,,69.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1961,DTXSID2022676,1.5516058319486565,0.0,70.0,1.0,0.014285714285714285,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1962,DTXSID2022678,1.4580424917902364,0.19817799905685504,73.0,12.0,0.1643835616438356,True,0.1765603253086648,1.4580424917902364,28.71061475701976,8.479329576795964
1963,DTXSID2022707,1.5543713158774908,0.2692600981689233,64.0,21.0,0.328125,True,0.1765603253086648,1.5543713158774908,35.84027356096587,10.584987267528025
1964,DTXSID2022751,,,14.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1965,DTXSID2022753,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1966,DTXSID2022880,1.5698987258886488,0.18407262630099955,69.0,41.0,0.5942028985507246,True,0.1765603253086648,1.5698987258886488,37.144860005876595,10.97028094798166
1967,DTXSID2022886,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1968,DTXSID2022888,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1969,DTXSID2022915,,,14.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1970,DTXSID2022967,1.3750382171812372,0.13196318527955714,68.0,3.0,0.04411764705882353,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1971,DTXSID2023010,,,56.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1972,DTXSID2023016,1.5495292414242317,0.2147346640390812,67.0,5.0,0.07462686567164178,True,0.1765603253086648,1.5495292414242317,35.44289934892293,10.467627645041784
1973,DTXSID2023064,,,70.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
1974,DTXSID2023068,1.3354841115943976,0.24476572169632763,69.0,49.0,0.7101449275362319,True,0.1765603253086648,1.3354841115943976,21.651306678398242,6.394449113965236
1975,DTXSID2023143,,,69.0,0.0,0.0,False,0.1765603253086648,3.0,1000.0,295.33779226105804
